"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Address","Date published","ISBN","ISSN","ISSN (alt.)","URLs","Abstract","Keywords","Series"
"Journal Article","Hooshyar D,Yang Y","","Expert Systems with Applications","2024","238","","","","","2024-03-15","","0957-4174","","https://search.ebscohost.com/login.aspx?direct=true&db=edselc&AN=edselc.2-52.0-85175162413&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","","Computational thinking, Convolutional neural network, Image processing, Learner modelling, Trustworthy AI for education",""
"Journal Article","Sun J,Wei M,Feng J,Yu F,Li Q,Zou R","","Expert Systems with Applications","2024","238","","","","","2024-03-15","","0957-4174","","https://search.ebscohost.com/login.aspx?direct=true&db=edselc&AN=edselc.2-52.0-85175626967&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","","Artificial intelligence in education, Knowledge tracing, Learner modeling, Learning process",""
"Journal Article","He L,Li X,Wang P,Tang J,Wang T","MAN: Memory-augmented Attentive Networks for Deep Learning-based Knowledge Tracing","ACM Transactions on Information Systems","2024","42","1","1-22","","","2024","","1046-8188","","https://search.ebscohost.com/login.aspx?direct=true&db=asx&AN=173170324&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","The article focuses on improving Knowledge Tracing (KT) in e-learning systems by addressing the Skill Switching Phenomenon (SSP). Topics include the challenges posed by SSP, the limitations of existing deep learning-based methods, and the proposed Memory-augmented Attentive Network (MAN) model to enhance knowledge state prediction.","deep learning, E-learning, knowledge tracing, memory-augmented neural network, multi-head attention mechanism",""
"Journal Article","Strukova S,Ruipérez-Valiente JA,Gómez Mármol F","Adapting Knowledge Inference Algorithms to Measure Geometry Competencies through a Puzzle Game","ACM Transactions on Knowledge Discovery from Data","2024","18","1","1-23","","","2024-01","","1556-4681","","https://search.ebscohost.com/login.aspx?direct=true&db=edb&AN=173194034&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","The rapid technological evolution of the last years has motivated students to develop capabilities that will prepare them for an unknown future in the 21st century. In this context, many teachers intend to optimise the learning process, making it more dynamic and exciting through the introduction of gamification. Thus, this article focuses on a data-driven assessment of geometry competencies, which are essential for developing problem-solving and higher-order thinking skills. Our main goal is to adapt, evaluate and compare Bayesian Knowledge Tracing (BKT), Performance Factor Analysis (PFA), Elo, and Deep Knowledge Tracing (DKT) algorithms applied to the data of a geometry game named Shadowspect, in order to predict students' performance by means of several classifier metrics. We analysed two algorithmic configurations, with and without prioritisation of Knowledge Components (KCs) - the skills needed to complete a puzzle successfully, and we found Elo to be the algorithm with the best )","CRITICAL thinking, LEARNING, GEOMETRY, ALGORITHMS, PUZZLES, capabilities, competencies, Computational social science, data mining, data-driven evaluation",""
"Journal Article","Pusic MV,Birnbaum RJ,Thoma B,Hamstra SJ,Cavalcanti RB,Warm EJ,Janssen A,Shaw T","","Journal of Continuing Education in the Health Professions","2023","43","1","52-59","","","2023-12-15","","0894-1912","","https://search.ebscohost.com/login.aspx?direct=true&db=edsovi&AN=edsovi.10.1097.CEH.0000000000000444&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","ABSTRACT: The information systems designed to support clinical care have evolved separately from those that support health professions education. This has resulted in a considerable digital divide between patient care and education, one that poorly serves practitioners and organizations, even as learning becomes ever more important to both. In this perspective, we advocate for the enhancement of existing health information systems so that they intentionally facilitate learning. We describe three well-regarded frameworks for learning that can point toward how health care information systems can best evolve to support learning. The Master Adaptive Learner model suggests ways that the individual practitioner can best organize their activities to ensure continual self-improvement. The PDSA cycle similarly proposes actions for improvement but at a health care organizationʼs workflow level. Sengeʼs Five Disciplines of the Learning Organization, a more general framework from the business literature, serves to further inform how disparate information and knowledge flows can be managed for continual improvement. Our main thesis holds that these types of learning frameworks should inform the design and integration of information systems serving the health professions. An underutilized mediator of educational improvement is the ubiquitous electronic health record. The authors list learning analytic opportunities, including potential modifications of learning management systems and the electronic health record, that would enhance health professions education and support the shared goal of delivering high-quality evidence-based health care.","",""
"Journal Article","Li Z,Shi L,Wang J,Cristea AI,Zhou Y","Sim-GAIL: A generative adversarial imitation learning approach of student modelling for intelligent tutoring systems","Neural Computing & Applications","2023","35","34","24369-24388","","","2023","","0941-0643","","https://search.ebscohost.com/login.aspx?direct=true&db=asx&AN=173431259&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","The continuous application of artificial intelligence (AI) technologies in online education has led to significant progress, especially in the field of Intelligent Tutoring Systems (ITS), online courses and learning management systems (LMS). An important research direction of the field is to provide students with customised learning trajectories via student modelling. Previous studies have shown that customisation of learning trajectories could effectively improve students' learning experiences and outcomes. However, training an ITS that can customise students' learning trajectories suffers from cold-start, time-consumption, human labour-intensity, and cost problems. One feasible approach is to simulate real students' behaviour trajectories through algorithms, to generate data that could be used to train the ITS. Nonetheless, implementing high-accuracy student modelling methods that effectively address these issues remains an ongoing challenge. Traditional simulation methods, in parti)","INTELLIGENT tutoring systems, REWARD (Psychology), COURSEWARE, LEARNING Management System, ARTIFICIAL intelligence, ONLINE education, Generative adversarial imitation learning, Intelligent tutoring systems, Student modelling",""
"Journal Article","Xu J,Huang X,Xiao T,Lv P","Improving knowledge tracing via a heterogeneous information network enhanced by student interactions","Expert Systems with Applications","2023","232","","N.PAG-N.PAG","","","2023","","0957-4174","","https://search.ebscohost.com/login.aspx?direct=true&db=asn&AN=170044693&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Knowledge tracing (KT) aims to evaluate the knowledge state of students based on their coursework interactions in an intelligent tutoring system (ITS). It is the most fundamental and challenging task in the system. Existing KT models have achieved promising results. However, considerable interactions between the student entity and the other two types of entities (i.e., questions and skills) in ITS have not been well utilized, which restricts the performance of these models. To this end, we propose HIN-KT, a novel heterogeneous information network (HIN)-based pre-processing model, to further enhance the performance of existing KT models. An HIN is first built to model student–question–skill interactions. Subsequently, HIN-KT employs the interaction information modeled by HIN to pre-train embeddings for questions and then adopts pre-trained question embeddings to enhance the performance of recent deep KT models. Experimental results over three public KT datasets demonstrate that large g)","INFORMATION networks, INTELLIGENT tutoring systems, Deep learning, Heterogeneous information networks, Interaction data, Knowledge tracing, Student states",""
"Journal Article","Su W,Jiang F,Shi C,Wu D,Liu L,Li S,Yuan Y,Shi J","","International Journal of Computational Intelligence Systems","2023","16","1","","","","2023-12-01","","1875-6883","","https://search.ebscohost.com/login.aspx?direct=true&db=edssjs&AN=edssjs.BD4B6956&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","The knowledge tracing (KT) model is an effective means to realize the personalization of online education using artificial intelligence methods. It can accurately evaluate the learning state of students and conduct personalized instruction according to the characteristics of different students. However, the current knowledge tracing models still have problems of inaccurate prediction results and poor features utilization. The study applies XGBoost algorithm to knowledge tracing model to improve the prediction performance. In addition, the model also effectively handles the multi-skill problem in the knowledge tracing model by adding the features of problem and knowledge skills. Experimental results show that the best AUC value of the XGBoost-based knowledge tracing model can reach 0.9855 using multiple features. Furthermore, compared with previous knowledge tracing models used deep learning, the model saves more training time.","Knowledge tracing, Deep learning, Multi-skill, XGBoost",""
"Journal Article","Pelánek R","","User Modeling and User-Adapted Interaction: The Journal of Personalization Research","2023","","","1-24","","","2023-11-02","","0924-1868","1573-1391","https://search.ebscohost.com/login.aspx?direct=true&db=edssjs&AN=edssjs.A6BCDB9B&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Computer-based learning environments can easily collect student response times. These can be used for multiple purposes, such as modeling student knowledge and affect, domain modeling, and cheating detection. However, to fully leverage them, it is essential to understand the properties of response times and associated caveats. In this study, we delve into the properties of response time distributions, including the influence of aberrant student behavior on response times. We then provide an overview of modeling approaches that use response times and discuss potential applications of response times for guiding the adaptive behavior of learning environments.","Response time, Student modeling, Personalization, Learning, Cheating",""
"Journal Article","Abdelrahman G,Wang Q,Nunes B","Knowledge Tracing: A Survey","ACM Computing Surveys","2023","55","11","1-37","","","2023","","0360-0300","","https://search.ebscohost.com/login.aspx?direct=true&db=asx&AN=162604181&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Humans’ ability to transfer knowledge through teaching is one of the essential aspects for human intelligence. A human teacher can track the knowledge of students to customize the teaching on students’ needs. With the rise of online education platforms, there is a similar need for machines to track the knowledge of students and tailor their learning experience. This is known as the Knowledge Tracing (KT) problem in the literature. Effectively solving the KT problem would unlock the potential of computer-aided education applications such as intelligent tutoring systems, curriculum learning, and learning materials’ recommendation. Moreover, from a more general viewpoint, a student may represent any kind of intelligent agents including both human and artificial agents. Thus, the potential of KT can be extended to any machine teaching application scenarios which seek for customizing the learning experience for a student agent (i.e., a machine learning model). In this paper, we provide a c)","DEEP learning, INTELLIGENT tutoring systems, MACHINE learning, INTELLIGENT agents, EVIDENCE gaps, ONLINE education, KNOWLEDGE transfer, Bayesian knowledge tracing (BKT), deep learning, factor analysis, intelligent education, key-value memory, Knowledge tracing, memory networks, sequence modelling, survey",""
"Journal Article","Wu Z,Deng K,Qiu J,Tang Y","","IEEE Transactions on Knowledge and Data Engineering, Knowledge and Data Engineering, IEEE Transactions on, IEEE Trans. Knowl. Data Eng.","2023","35","11","11354-11367","","","2023-11-01","","1041-4347","1558-2191","https://search.ebscohost.com/login.aspx?direct=true&db=edseee&AN=edseee.10004013&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Nowadays, the learning management system (LMS) has been widely used in different educational stages from primary to tertiary education for student administration, documentation, tracking, reporting, and delivery of educational courses, training programs, or learning and development programs. Towards effective learning outcome assessment, the exam script generation problem has attracted many attentions recently. But the research in this field is still in its early stage. Two essential issues have been ignored largely by existing solutions. First, given a course, it is unknown yet how to generate an quality exam script which concurrently has (i) the proper difficulty level, (ii) the coverage of essential knowledge points, (iii) the capability to distinguish academic performances between students, and (iv) the student scores in normal distribution. Second, while frequently encountered in practice, it is unknown so far how to generate a pair of high quality exam scripts which are equivalent in assessment (i.e., the student scores are comparable by taking either of them) but have significantly different sets of questions. To fill the gap, this paper proposes ExamGAN (Exam Script Generative Adversarial Network) to generate high quality exam scripts, and then extends ExamGAN to T-ExamGAN (Twin-ExamGAN) to generate a pair of high quality exam scripts. Based on extensive experiments on three benchmark datasets, it has verified the superiority of proposed solutions in various aspects against the state-of-the-art. Moreover, we have conducted a case study which demonstrated the effectiveness of proposed solution in the real teaching scenarios.","Computing and Processing, Hidden Markov models, Generative adversarial networks, Knowledge engineering, Training, Gaussian distribution, Task analysis, Databases, Deep knowledge tracing, educational data mining, exam script generation, generative adversarial network",""
