Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"A general architecture for intelligent tutoring of diagnostic classification problem solving.","Crowley RS; Medvedeva O","AMIA ... Annual Symposium proceedings. AMIA Symposium",="1942-597X",,="2003",,,"185",,"14728159",,"American Medical Informatics Association","Journal Article","Artificial Intelligence; Computer-Assisted Instruction; Problem Solving; Teaching methods; Cognition; Computer Graphics; Humans; Models, Educational; Programming Languages; Software",,"We report on a general architecture for creating knowledge-based medical training systems to teach diagnostic classification problem solving. The approach is informed by our previous work describing the development of expertise in classification problem solving in Pathology. The architecture envelops the traditional Intelligent Tutoring System design within the Unified Problem-solving Method description Language (UPML) architecture, supporting component modularity and reuse. Based on the domain ontology, domain task ontology and case data, the abstract problem-solving methods of the expert model create a dynamic solution graph. Student interaction with the solution graph is filtered through an instructional layer, which is created by a second set of abstract problem-solving methods and pedagogic ontologies, in response to the current state of the student model. We outline the advantages and limitations of this general approach, and describe it's implementation in SlideTutor - a developing Intelligent Tutoring System in Dermatopathology.","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cmedm&AN=14728159&site=ehost-live&scope=site"
"The perpetual student: modeling duration of undergraduate studies based on lifetime-type educational data.","Kalamatianou, Aglaia G.; McClean, Sally","Lifetime Data Analysis. An International Journal Devoted to Statistical Methods and Applications for Time-to-Event Data",,,="20030101","9","4","311","20","MR2045451",,,"Journal","Statistics -- Parametric inference -- Point estimation; Statistics -- Nonparametric inference -- Estimation; Statistics -- Survival analysis and censored data -- Censored data models; Statistics -- Survival analysis and censored data -- Reliability and life testing; Statistics -- Applications -- Applications to economics",,,"https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=msn&AN=MR2045451&site=ehost-live&scope=site"
"Using Expert Systems to Build Cognitive Simulations.","Jonassen, David H.; Wang, Sherwood","Journal of Educational Computing Research",="07356331",,="2003","28","1","1","13","507802427","10.2190/TTGM-5TWG-3P1F-GG9D","Baywood Publishing Company, Inc.","Article","Computer simulation; Cognition; Expert systems",,"Cognitive simulations are runnable computer programs for modeling human cognitive activities. Traditionally used to develop expert and learner models for intelligent tutoring systems, building simulations are also effective learning activities in psychology-related courses. Using inexpensive and easy-to-use expert system shells, students can develop simulations of cognitive processes. This article reports a case study where expert systems were used as a formalism for modeling metacognitive processes in a seminar. Building cognitive simulations engages intensive introspection, ownership, and meaning making in learners who build them. Reprinted by permission of the publisher.","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=507802427&site=ehost-live&scope=site"
"A multi-agent intelligent environment for medical knowledge.","Vicari RM; Flores CD; Silvestre AM; Seixas LJ; Ladeira M; Coelho H","Artificial intelligence in medicine",="0933-3657",,="2003 Mar","27","3","335",,"12667742","10.1016/s0933-3657(03)00009-5","Elsevier Science Publishing","Journal Article","Artificial Intelligence; Education, Medical; Knowledge; Models, Theoretical; Bayes Theorem; Diagnosis, Computer-Assisted; Diagnosis, Differential; Humans; Negotiating; Problem Solving",,"AMPLIA is a multi-agent intelligent learning environment designed to support training of diagnostic reasoning and modelling of domains with complex and uncertain knowledge. AMPLIA focuses on the medical area. It is a system that deals with uncertainty under the Bayesian network approach, where learner-modelling tasks will consist of creating a Bayesian network for a problem the system will present. The construction of a network involves qualitative and quantitative aspects. The qualitative part concerns the network topology, that is, causal relations among the domain variables. After it is ready, the quantitative part is specified. It is composed of the distribution of conditional probability of the variables represented. A negotiation process (managed by an intelligent MediatorAgent) will treat the differences of topology and probability distribution between the model the learner built and the one built-in in the system. That negotiation process occurs between the agents that represent the expert knowledge domain (DomainAgent) and the agent that represents the learner knowledge (LearnerAgent).","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cmedm&AN=12667742&site=ehost-live&scope=site"
"STyLE-OLM: Interactive Open Learner Modelling.","Dimitrova, Vania","International Journal of Artificial Intelligence in Education (IOS Press)",="15604292",,="Apr2003","13","1","35","44","12210760",,"IOS Press","Article","Artificial intelligence; Open learning; Information storage & retrieval systems; Cognition; Instructional systems",,"There is a strong argument in Artificial Intelligence in Education which advocates that computer-based learning systems need to adapt to the needs of learners if they are to provide for effective personalised instruction (Self, 1999a). Diagnosing a learner's cognitive capacity is a crucial issue in building adaptive systems. We have explored an interactive open learner modelling (IOLM) approach which conceives diagnosis as an interactive process involving both a computer system and a learner that discuss and together construct the learner model. This paper outlines the architecture of an interactive open learner modelling system and illustrates the method in a terminological domain. We discuss an evaluative study of an IOLM demonstrator – a system called STyLE-OLM. The results from the study demonstrate potential benefits of the method for improving the quality of the learner model and providing a means for fostering reflective thinking. We argue that IOLM is a fruitful approach which may be employed in intelligent learning environments both for obtaining a better model of a learner's cognitive state and engaging learners in reflective activities. [ABSTRACT FROM AUTHOR]","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=12210760&site=ehost-live&scope=site"
,"Roy, Ken",,="08872376",,="20030401","26","7","38",,"EJ666917",,"Science Scope","Guides - Classroom - Teacher","Hands on Science; Laboratory Safety; Middle Schools; Models; School Safety; Science Education",,"Provides safety guidelines for hands-on projects or model building activities. (KHR)","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eric&AN=EJ666917&site=ehost-live&scope=site"
"Intelligent Tutoring System: A Tool for Testing the Research Curiosities of Artificial Intelligence Researchers","Yaratan, Huseyin","Turkish Online Journal of Educational Technology - TOJET",="13036521",,="20030701","2","3","41",,"EJ1102004",,,"Journal Articles","Artificial Intelligence; Intelligent Tutoring Systems; Testing; Researchers; Technology Uses in Education; Educational Technology; Teaching Methods; Expertise; Computer Interfaces; Models; Tutoring; Computer Assisted Instruction; Problem Solving; Natural Language Processing; Curriculum Design; Learning Activities; Evaluation; Programming; Foreign Countries",,"An ITS (Intelligent Tutoring System) is a teaching-learning medium that uses artificial intelligence (AI) technology for instruction. Roberts and Park (1983) defines AI as the attempt to get computers to perform tasks that if performed by a human-being, intelligence would be required to perform the task. The design of an ITS comprises two distinct features - a sophisticated computer programming feature which has to be programmed by a computer scientist and a comprehensive curriculum design feature which has to be developed by a curriculum specialist. Unfortunately, most of the existing ITS's were designed by AI researchers alone without much involvement of curriculum designers, education psychologists and/or subject specialists. These AI researchers were not primarily concerned about instructional issues and their main concerns were to test their research curiosities in the AI field with minimum involvement of other people. This paper will analyze both features of an ITS; first, the four components (""problem-solving"" or ""expertise module,"" ""student model,"" ""tutoring module"" and the ""user interface"") of an ITS will be described and then the nine elements (""objectives,"" ""content,"" ""learning activities,"" ""evaluation procedures,"" ""materials"" or ""resources,"" ""teaching strategies,"" ""time,"" ""grouping"" and ""space"") of a curriculum design will be explained. The paper will end with a discussion of the problems that can arise if both curriculum development and computer programming features of the design of an ITS are not taken into consideration.","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eric&AN=EJ1102004&site=ehost-live&scope=site"
"Leaving Community College: Do Existing Models of College Dropout Apply to Community College Students?","Deil-Amen, Regina","Conference Papers - American Sociological Association",,,"2003 Annual Meeting, Atlanta, GA",,,"1","26","15922383","asa_proceeding_9774.PDF","American Sociological Association","Conference Paper","Community colleges; College students; College dropouts; School dropouts; Sociological research; Social science research; United States","college; colleges; community; persistence; Tinto","This paper addresses some of the problems with the limited amount of research that exists regarding the relationship between community college enrollment and educational attainment. Special attention is given to the inherent bias toward traditional, four-year college student models. Using NCES’s BPS longitudinal data,logistic regression analyses test existing theories on two separate subsamples: four-year college students and community college students. This analyses demonstrate the extent to which existing theories of college departure, or ?drop-out,? might apply differently to community college student populations when compared to four-year college students. [ABSTRACT FROM AUTHOR] Copyright of Conference Papers - American Sociological Association is the property of American Sociological Association and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=15922383&site=ehost-live&scope=site"
"Student modeling and ab initio Language Learning","Heift, Trude; Schulze, Mathias","System",="0346251X",,="Dec2003","31","4","519","17","11116144","10.1016/j.system.2003.02.003","Elsevier B.V.","Article","STUDENTS; FOREIGN language education; COMPUTERS; EDUCATION; Computer and software stores; Computer and peripheral equipment manufacturing; Electronic Computer Manufacturing; Computer, computer peripheral and pre-packaged software merchant wholesalers; Computer and Computer Peripheral Equipment and Software Merchant Wholesalers; Electronics Stores; All Other Miscellaneous Schools and Instruction; Educational Support Services; Administration of Education Programs; Language Schools","Computer-assisted language learning; Diagnostic adaptive language testing; German as a Second Language; Student modeling in language learning; Web-based language learning systems","This paper provides examples of student modeling techniques that have been employed in computer-assisted language learning (CALL) over the past decade. We further discuss two of our own systems and show how different types of CALL programs can, nonetheless, share similar conceptual designs of a student model. First, we describe the German Tutor, an Intelligent Language Tutoring System (ILTS) for German as a Second Language which contains a parser and a grammar that analyze student input. The student model is based on student subject matter performance and provides feedback and remedial exercises suited to learner expertise. Second, we provide an overview of Geroline, an online distance education course for ab initio German learners, and its student model. We show how a student model can support computerized adaptive language testing for diagnostic purposes in a Web-based language learning environment which does not rely on parsing technology. Here, student scores from libraries of sentence-based exercises are used as the raw input for the model. [Copyright &y& Elsevier] Copyright of System is the property of Pergamon Press - An Imprint of Elsevier Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=asn&AN=11116144&site=ehost-live&scope=site"
"The rabbit nephrectomy model for training in laparoscopic surgery.","Molinas CR; Binda MM; Mailova K; Koninckx PR","Human reproduction (Oxford, England)",="0268-1161",,="2004 Jan","19","1","185",,"14688180","10.1093/humrep/deh025","Oxford University Press","Comparative Study","Laparoscopy adverse effects; Models, Animal; Nephrectomy education; Nephrectomy methods; Rabbits; Animals; Education, Continuing; Education, Medical; Gynecology education; Humans; Nephrectomy adverse effects; Students, Medical; Time Factors",,"Background: Laparoscopic surgical training is generally done with the teacher-student model using complex exercises. This study was performed to evaluate a new training model that emphasizes the repetition of simple procedures. Methods: Laparoscopic surgery was performed in rabbits (n=200) using conventional instruments. Gynaecologists (n=10) and medical students (n=10) performed a series of exercises during 20 full days training. Nephrectomy was chosen to evaluate and score laparoscopic skills, i.e. duration of surgery and complication rate, since it mimics the surgical challenge and involves dissection of major vessels. Each surgeon performed 20 nephrectomies, alternating left and right sides. Results: Duration of surgery and complications decreased with training. For duration of surgery, a two-phase exponential decay learning curve, with different decays for gynaecologists and students, was observed. Gynaecologists achieved shorter operating times than students for real and calculated times in the first procedure (P<0.0001 and P<0.0001) and for calculated time in the last procedure (P=0.001). Severe complications were more frequent in students than in gynaecologists (P=0.0003). Conclusion: The rabbit nephrectomy model is suitable for training in laparoscopic surgery. Since it implies the repetition of short and well-defined exercises, progression is easier to monitor and the necessity for continuous supervision is less, making training less expensive.","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cmedm&AN=14688180&site=ehost-live&scope=site"
