"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Improving Knowledge Tracing Model by Integrating Problem Difficulty","S. Minn; F. Zhu; M. C. Desmarais","Department of Computer Engineering, Polytechnique, Montreal, Canada; School of Information Systems, Singapore Management University, Singapore; Department of Computer Engineering, Polytechnique, Montreal, Canada","2018 IEEE International Conference on Data Mining Workshops (ICDMW)","10 Feb 2019","2018","","","1505","1506","Intelligent Tutoring Systems (ITS) are designed for providing personalized instructions to students with the needs of their skills. Assessment of student knowledge acquisition dynamically is nontrivial during her learning process with ITS. Knowledge tracing, a popular student modeling technique for student knowledge assessment in adaptive tutoring, which is used for tracing student's knowledge state and detecting student's knowledge acquisition by using decomposed individual skill or problems with a single skill per problem. Unfortunately, recent KT models fail to deal with practices of complex skill composition and variety of concepts included in a problem simultaneously. Our goal is to investigate a student model that compatible for problems with multiple skills and various concept.","2375-9259","978-1-5386-9288-2","10.1109/ICDMW.2018.00220","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8637469","Student model, knowledge tracing, complex skill composition, problem difficulty, robust learning, deep learning","Data mining;Data models;Bayes methods;Conferences;Computational modeling;Adaptation models;Estimation","intelligent tutoring systems;knowledge acquisition;user modelling","complex skill composition;student knowledge acquisition;learning process;student knowledge assessment;adaptive tutoring;knowledge tracing model;intelligent tutoring systems;ITS;student modeling technique;KT models","","9","","12","IEEE","10 Feb 2019","","","IEEE","IEEE Conferences"
"Incorporating forgetting in the Personalized, Clustered, Bayesian Knowledge Tracing (PC-BKT) model","P. Nedungadi; M. S. Remya","Amrita Create, Amrita Vishwa Vidyapeetham; Amrita Create, Amrita Vishwa Vidyapeetham","2015 International Conference on Cognitive Computing and Information Processing(CCIP)","4 May 2015","2015","","","1","5","Personalization and adaptation are at the core of Intelligent Tutoring Systems. The Bayesian Knowledge Tracing (BKT) Student Model is a time-tested method that maintains information about students' knowledge levels for the different skills in the topic domain. In our previous work, we had proposed the Personalized, Clustered, Bayesian Knowledge Tracing (PC-BKT) model that individualizes the learning of skills for each student and additionally improves the prediction for the cold start problem. A clustering of both students and skills based on a student and skill capability matrix was used to learn the prior skills to deal with the cold start problem, which is the prediction for either new skills or new students. Both the BKT and the PC-BKT models assume that a skill once learnt is never forgotten. But forgetting is pervasive. If a previously learnt skill is not used for a while, there is a higher chance of forgetting it. One of the factors that influence the forgetting is the time duration before the current attempt at using a skill and the previous attempt. We incorporate forgetting as a time decay function in the BKT and PC-BKT models and show significant increase in the accuracy of the student prediction.","","978-1-4799-7171-8","10.1109/CCIP.2015.7100688","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7100688","Bayesian Knowledge Tracing;BKT;PC-BKT;Student Models;User Models;Intelligent Tutoring Systems;ITS","Adaptation models;Predictive models;Accuracy;Computational modeling;Bayes methods;Algebra","belief networks;intelligent tutoring systems;matrix algebra","Bayesian knowledge tracing student model;intelligent tutoring systems;PC-BKT model;BKT model;time decay function;student prediction","","12","","19","IEEE","4 May 2015","","","IEEE","IEEE Conferences"
"Feature-Aware Knowledge Tracing for Generation of Concept-Knowledge Reports in an Intelligent Tutoring System","M. Haridas; N. Vasudevan; S. Gayathry; G. Gutjahr; R. Raman; P. Nedungadi","Center for Research in Analytics and Technologies for Education, Amrita Vishwa Vidyapeetham, Amritapuri, India; Department of Physics, Amrita Vishwa Vidyapeetham, Amritapuri, India; Department of Mathematics, Amrita Vishwa Vidyapeetham, Amritapuri, India; Center for Research in Analytics and Technologies for Education, Amrita Vishwa Vidyapeetham, Amritapuri, India; School of Business, Amrita Vishwa Vidyapeetham, Coimbatore, India; Center for Research in Analytics and Technologies for Education, Amrita Vishwa Vidyapeetham, Amritapuri, India","2019 IEEE Tenth International Conference on Technology for Education (T4E)","6 Feb 2020","2019","","","142","145","In many Indian schools, a high student-teacher ratio makes it an uphill struggle for teachers to assess the knowledge of individual students and deficiencies in the students' understanding. Teachers should have a clear picture on what concepts each student has mastered, and which concepts the teacher needs to review in greater detail. This paper investigates the students' concept knowledge, based on the interaction of the students with an intelligent tutoring system. The Feature-Aware Student knowledge Tracing (FAST) algorithm was used, since the algorithm facilitates the separation of lesson-specific skills from concept knowledge. Data from 2400 first-grade students from 28 schools were used for the analysis. Findings include a moderate fit model and an easy interpretation of the model parameters.","","978-1-7281-4227-2","10.1109/T4E.2019.00-34","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8983695","intelligent tutoring system (ITS);Bayesian knowledge tracing (BKT);Feature-Aware Student knowledge Tracing (FAST) algorithm;elementary mathematics;India;Central Board of Secondary Education (CBSE);National Council of Educational Research and Training (NCERT)","Shape;Mathematical model;Bayes methods;Geometry;Length measurement;Education","educational institutions;intelligent tutoring systems","concept-knowledge reports;intelligent tutoring system;Indian schools;student-teacher ratio;concept knowledge;first-grade students;feature-aware knowledge tracing;feature-aware student knowledge tracing;lesson-specific skills","","3","","14","IEEE","6 Feb 2020","","","IEEE","IEEE Conferences"
"Research on Student Model Construction of Educational Big Data System Based on CD-CAT","Y. ZHAO; Y. FAN; P. WANG","Institute of Computing, Technology of the Chinese, Academy of Sciences, Changchun, CHINA; JiLIin University, Changchun, CHINA; Institute of Computing, Technology of the Chinese, Academy of Sciences, Changchun, CHINA","2018 14th International Conference on Wireless and Mobile Computing, Networking and Communications (WiMob)","27 Dec 2018","2018","","","303","308","The era of ""big data"" technology has penetrated into all areas of society. In the field of education, personalized teaching has gradually become a new development direction. With the widespread promotion of online education, the adaptive learning system has attracted attention because of its good course recommendation function. As an important part of the general model, the student model reflects the individual characteristics, knowledge status and cognitive ability of the students. The traditional student model judges students based solely on the student’s basic information and simple test scores. This paper proposes a CD-CAT hybrid model based on the actual scene of the learner, retains the original static question bank, and dynamically updates the student model based on the test database of the learner’s different knowledge structure. The knowledge field is divided into multiple categories, and the dynamic allocation of the question bank between categories is carried out. After testing, this dynamic model has a good effect.","2160-4886","978-1-5386-6876-4","10.1109/WiMOB.2018.8589101","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8589101","Cognitive Diagnosis Theory;CAT;Adaptive Learning System;Construction of Student Model","Adaptation models;Cats;Computational modeling;Adaptive learning;Data models;Adaptive systems","Big Data;cognition;educational courses;intelligent tutoring systems;teaching;user modelling","student model judges students;educational Big Data system;cognitive ability;knowledge field;CD-CAT hybrid model;knowledge status;good course recommendation function;adaptive learning system;online education;personalized teaching;student model construction","","","","14","IEEE","27 Dec 2018","","","IEEE","IEEE Conferences"
"A Qualitative Comparison of Techniques for Student Modeling in Intelligent Tutoring Systems","C. Gonzalez; J. C. Burguillo; M. Llamas","Departamento de Ingenierìa Telemática, Universidad de Vigo, Vigo, Spain; Departamento de Ingenierìa Telemática, Universidad de Vigo, Vigo, Spain; Departamento de Ingenierìa Telemática, Universidad de Vigo, Vigo, Spain","Proceedings. Frontiers in Education. 36th Annual Conference","5 Mar 2007","2006","","","13","18","Intelligent tutoring systems (ITS) are interactive learning environments based on instruction assisted by computers. The intelligence of these systems is largely attributed to their ability to adapt to a specific student during the teaching process. In general, the adaptation process can be described by three phases: (i) getting the information about the student, (ii) processing the information to initialize and update a student model, and (iii) using the student model to provide the adaptation. In this paper we studied aspects related with student modeling (SM) in intelligent tutoring systems. First we make a qualitative comparison of two techniques: Bayesian networks (BN) and case-based reasoning (CBR) for SM. We apply both techniques to a case study concerning the development of an ITS for e-learning in the medical domain. Finally, we discuss the results obtained","2377-634X","1-4244-0256-5","10.1109/FIE.2006.322537","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4117043","Bayesian Networks;Case-based Reasoning;Intelligent Tutoring Systems;Student Model","Intelligent systems;Bayesian methods;Samarium;Uncertainty;Problem-solving;Context modeling;Computer aided instruction;Education;Electronic learning;Intelligent networks","belief networks;case-based reasoning;intelligent tutoring systems;interactive systems;teaching;user modelling","student modeling;intelligent tutoring system;interactive learning environment;computer assisted instruction;teaching;Bayesian network;case-based reasoning;e-learning;medical domain","","20","1","25","IEEE","5 Mar 2007","","","IEEE","IEEE Conferences"
"A New Learner Model in Adaptive Learning System","W. Ding; Z. Zhu; Q. Guo","School of Software & Microelectronics, Peking University, Beijing, China; School of Software & Microelectronics, Peking University, Beijing, China; School of Software & Microelectronics, Peking University, Beijing, China","2018 3rd International Conference on Computer and Communication Systems (ICCCS)","13 Sep 2018","2018","","","440","443","Learner model is the core of adaptive learning system and determines the quality of online teaching. Based on online learning norms and combined with learner characteristics of online learning in China, this paper proposes a new learner model. It includes four basic features: basic information, learning style, knowledge state, and cognitive ability. It gives a formal representation of these four feature elements and a method for initializing and updating the values. Finally, in the “Software Engineering” course adaptive learning system developed on the MoodIe platform, the learner model has good usability and validity.","","978-1-5386-6350-9","10.1109/CCOMS.2018.8463316","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8463316","adaptive learning system;learner model;learning style;knowledge state","Adaptation models;Adaptive learning;Analytical models;Estimation;Standards;Software engineering","computer aided instruction;educational courses;teaching","online teaching;online learning norms;learner characteristics;learner model;software engineering course adaptive learning system;China","","7","","19","IEEE","13 Sep 2018","","","IEEE","IEEE Conferences"
"The research of classical learner models in intelligent tutoring systems","L. Zhiping; S. Yu; X. Tianwei; L. Yang","School of Information Science and Technology, Yunnan Normal University, Kunming, Yunnan, China; School of Information Science and Technology, Yunnan Normal University, Kunming, Yunnan, China; School of Information Science and Technology, Yunnan Normal University, Kunming, Yunnan, China; School of Information Science and Technology, Yunnan Normal University, Kunming, Yunnan, China","2012 7th International Conference on Computer Science & Education (ICCSE)","6 Sep 2012","2012","","","1204","1207","Learner models are of great importance in the construction of intelligent tutoring systems. In this paper, after introducing intelligent tutoring systems and learner models, four kinds of classical learner models called Stereotypes Models, Overlay Models, Buggy Models and Constraint-Based Models and their properties are discussed in detail. Finally, we compare these four kinds of learner models in detail, according to their characteristics and functions.","","978-1-4673-0242-5","10.1109/ICCSE.2012.6295280","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6295280","Classical Learner Models;Intelligent Tutoring Systems;Domain Knowledge","Artificial intelligence;Analytical models;Computational modeling;Materials;Computer science;Educational institutions","intelligent tutoring systems","classical learner models;intelligent tutoring systems;stereotypes models;overlay models;Buggy Models;constraint-based models","","4","","13","IEEE","6 Sep 2012","","","IEEE","IEEE Conferences"
"The Construction and Evolution of Learner Model in Adaptive Learning System","B. Jia; S. Zhong; W. Wang; B. Yang","School of Software, Northeast Normal University, Changchun, China; School of Software, Northeast Normal University, Changchun, China; School of Software, Northeast Normal University, Changchun, China; School of Software, Northeast Normal University, Changchun, China","2009 International Conference on Computer Technology and Development","28 Dec 2009","2009","1","","148","152","In light of the present situation research on learner model in adaptive learning system at home and abroad, this paper has put forward a new learner model to achieve self-organization and push of learning resources on the basis of learning goals and learner's personal conditions. It includes knowledge level module, cognitive ability module and preferences module. We respectively introduce the representation methods and reasoning mechanisms of the three modules in detail. After that, we introduce the evolution process of learner model. Experimental results show that this learner model is effective and practical in the application.","","978-0-7695-3892-1","10.1109/ICCTD.2009.13","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5359843","learner model;knowledge level;cognitive ability;preferences;Adaptive Learning System;fuzzy logic","Adaptive systems;Learning systems;Testing;Fuzzy logic;Space technology;Predictive models;Data mining;Home computing;Application software;Vectors","computer aided instruction","learner model;adaptive learning system;learning goals;learner personal conditions;knowledge level module;cognitive ability module;preferences module;representation methods;reasoning mechanisms;evolution process","","6","","12","IEEE","28 Dec 2009","","","IEEE","IEEE Conferences"
"Logistic Knowledge Tracing: A Constrained Framework for Learner Modeling","P. I. Pavlik; L. G. Eglington; L. M. Harrell-Williams","Institute of Intelligent Systems, Department of Psychology, University of Memphis, Memphis, TN, USA; School of Interactive Computing, Georgia Institute of Technology, Atlanta, GA, USA; Department of Counseling, Educational Psychology, and Research, University of Memphis, Memphis, TN, USA","IEEE Transactions on Learning Technologies","20 Jan 2022","2021","14","5","624","639","Adaptive learning technology solutions often use a learner model to trace learning and make pedagogical decisions. The present research introduces a formalized methodology for specifying learner models, logistic knowledge tracing (LKT), that consolidates many extant learner modeling methods. The strength of LKT is the specification of a symbolic notation system for alternative logistic regression models that is powerful enough to specify many extant models in the literature and many new models. To demonstrate the generality of LKT, we fit 12 models, some variants of well-known models and some newly devised, to six learning technology datasets. The results indicated that no single learner model was best in all cases, further justifying a broad approach that considers multiple learner model features and the learning context. We introduce features to stand in for student-level intercepts and argue that to be maximally applicable, a learner model needs to adapt to student differences. The results of our comparisons show the general importance of modeling recent learning for all datasets, with special importance for terms that model memory in datasets involving fact learning.","1939-1382","","10.1109/TLT.2021.3128569","National Science Foundation(grant numbers:1443068); Learner Data Institute(grant numbers:1934745); Institute of Education Sciences(grant numbers:ED#R305A190448); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9616435","Computer-aided instruction;educational technology;knowledge tracing;learning management systems;model comparison;models of learning.","Adaptation models;Predictive models;Logistics;Computational modeling;Analytical models;Psychology;Mathematical models","computer aided instruction;learning (artificial intelligence);logistics;regression analysis","logistic knowledge tracing;trace learning;LKT;extant learner modeling methods;logistic regression models;extant models;single learner model;multiple learner model features;model memory","","7","","65","IEEE","16 Nov 2021","","","IEEE","IEEE Journals"
"Multi-relational Factorization Models for Student Modeling in Intelligent Tutoring Systems","N. Thai-Nghe; L. Schmidt-Thieme","Can Tho University, Can Tho city, Vietnam; University of Hildesheim, Hildesheim, Germany","2015 Seventh International Conference on Knowledge and Systems Engineering (KSE)","7 Jan 2016","2015","","","61","66","Student Modeling is an important part of an Intelligent Tutoring System. The student model tracks information of individual student (e.g., Time spent on problems, hints requested, correct answers, etc). One of the important tasks in student modeling is predicting student performance, where the system can provide the students early feedbacks to help them improving their study results. In this work, we propose using multi-relational factorization approach, which has been successfully applied in recommender systems area, for student modeling in the Intelligent Tutoring Systems. Experiments on large real world data sets show that the proposed approach can improve the prediction results and could be used for student modeling.","","978-1-4673-8013-3","10.1109/KSE.2015.9","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7371759","Student Modeling;Predicting student performance;Intelligent Systems;Multi-relational Matrix Factorization;Recommender Systems","Mathematical model;Recommender systems;Predictive models;Metadata;Linear programming","intelligent tutoring systems;matrix decomposition;recommender systems;user modelling","multirelational factorization model;student modeling;intelligent tutoring system;student performance;multirelational factorization approach;recommender systems area","","21","","18","IEEE","7 Jan 2016","","","IEEE","IEEE Conferences"
