Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Article Title,Article Title - SciELO,Article Title - SciELO,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,Version,Version History,DOI,Book DOI,License Name,License URI,License Description,Early Access Date,Supplement,Document Type,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration,Abstract - Foreign,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,Language,Advisor,Committee Member,Copyright,Degree Name,Institution Address,Institution,Dissertation and Thesis Subjects,Author Keywords,Indexed Date,UT (Unique ID),Pubmed Id
J,"Zapata-Rivera, JD; Greer, J",,,,"Zapata-Rivera, Diego/F-4551-2010; Zapata-Rivera, Diego/R-2936-2017; Zapata-Rivera, Diego/X-7080-2019","Zapata-Rivera, Diego/0000-0002-0620-7622; Zapata-Rivera, Diego/0000-0002-0620-7622",,,Inspectable Bayesian student modelling servers in multi-agent tutoring systems,,,,,,,,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,,,,61,4,,,535,563,,,,10.1016/j.ijhcs.2003.12.017,,,,,,,Article,OCT 2004,2004,"User modelling shells and learner modelling servers have been proposed in order to provide reusable user/student model information over different domains, common inference mechanisms, and mechanisms to handle consistency of beliefs from different sources. Open and inspectable student models have been investigated by several authors as a means to promote student reflection, knowledge awareness, collaborative assessment, self-assessment, interactive diagnosis, to arrange groups of students, and to support the use of students' models by the teacher.This paper presents SModel, a Bayesian student modelling server used in distributed multi-agent environments. SModel server includes a student model database and a Bayesian student modelling component. SModel provides several services to a group of agents in a CORBA platform. Users can use ViSMod, a Bayesian student modelling visualization tool, and SMV, a student modelling database viewer, to visualize and inspect distributed Bayesian student models maintained by SModel server. SModel has been tested in a multi-agent tutoring system for teaching basic Java programming. In addition, SModel server has been used to maintain and share student models in a study focussed on exploring the existence of student reflection and analysing student model accuracy using inspectable Bayesian student models. (C) 2004 Elsevier Ltd. All rights reserved.",,,,,,,,,13,0,0,0,0,0,13,,,1071-5819,1095-9300,,,,,,,"Univ Saskatchewan, Dept Comp Sci, ARIES Lab, Saskatoon, SK S7N 0W0, Canada",,,,2004-10-01,WOS:000223882800006,
J,"Milosevic, Danijela; Sukic, Camil; Sendelj, Ramo",,,,"Sukic, Camil/IQR-9580-2023; Sendelj, Ramo/AAN-2533-2020","Sendelj, Ramo/0000-0002-9973-6426",,,Ontology-based Learner Modeling in Intelligent Tutoring Systems,,,,,,,,TECHNICS TECHNOLOGIES EDUCATION MANAGEMENT-TTEM,,,,5,2,,,271,277,,,,,,,,,,,Article,2010,2010,"The paper presents developing a web-based intelligent tutoring system named LEWITS. LEWITS (Learner Ontology Web-Based Intelligent Tutoring System) is aimed to use an ontology based student model and adaptation scenario of learning materials tailoring to individual student characteristics conceptualized in LeMONT ontology. The proposed learner modeling system relies on learner ontology, using Semantic Web technologies, based on the IMS LIP specifications and extended with new Psychological preferences concept. The LEWITS system architecture with its components Learner Profile Editor and Learner Modeler, suited for implicit and explicit ontology-based user modeling, is presented. It is also shown that LEWITS is modeling student data using certainty factor theory and fuzzy logic. Implementation issues are also discussed and explained in detail.",,,,,,,,,3,0,0,0,0,0,3,,,1840-1503,,,,,,,,,,,,2010-01-01,WOS:000279483100002,
J,"Heift, Trude",,,,,,,,Modeling learner variability in CALL,,,,,,,,COMPUTER ASSISTED LANGUAGE LEARNING,,,,21,4,,,305,321,,,,10.1080/09588220802343421,,,,,,,Article; Proceedings Paper,2008,2008,"This article describes challenges and benefits of modeling learner variability in Computer-Assisted Language Learning. We discuss the learner model of E-Tutor, a learner model that addresses learner variability by focusing on certain aspects and/or features of the learner's interlanguage. Moreover, we introduce the concept of phrase descriptors, the means by which the student model of E-Tutor captures very detailed linguistic information on the learner's performance and progress. Finally, we provide longitudinal data that emphasize the importance of monitoring fine-grained information and underline the dynamism and non-linearity of the SLA process, as also described by Dynamic Systems Theory (DST).",,,,,Conference on Interfaces of Intelligent Computer-Assisted Language Learning (IICALL2)Conference on Interfaces of Intelligent Computer-Assisted Language Learning (IICALL2),"DEC 07-08, 2007DEC 07-08, 2007",,"Univ Waterloo, Waterloo, CANADAUniv Waterloo, Waterloo, CANADA",16,0,0,0,0,0,16,,,0958-8221,1744-3210,,,,,,,"Simon Fraser Univ, Dept Linguist, Burnaby, BC V5A 1S6, Canada",,,,2008-01-01,WOS:000268814200002,
J,"Hibbi, Fatima-Zohra; Abdoun, Otman; Haimoudi, El Khatir",,,,"Abdoun, Otman/AAG-5172-2020; HIBBI, fatima-zohra/CAJ-2808-2022","HIBBI, fatima-zohra/0000-0003-3385-5809",,,Genetic Approach for Improved Prediction of Adaptive Learning Activities in Intelligent Tutoring System,,,,,,,,INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS,,,,14,8,,,597,603,,,,,,,,,,,Article,AUG 2023,2023,"The intelligent tutoring system registers the reference data of the learners in a database. This data is stored for later use in the instructional module. Designing a student model is not an easy task. It is first necessary to identify the knowledge acquired by the learner, then identify the learner's level of understanding of the functionality and finally identify the pedagogical strategies used by the learner to solve a problem. These elements must be taken into account in the development of the learner model. Learner characteristics must be considered in several forms. To build an effective learner model, the system must take into consideration both static (Learner preferences) and dynamic (Compartmental action) student characteristics. The objective of the article is to work out the learner model of the intelligent tutoring system by suggesting a new learning path. This proposal is based on the constructivist approach and the activist style (based on experimentation). According to the KOLB model, the authors propose a list of pedagogical activities depending on the learners' profile. Based on the learners' actions, the system reduces the list of activities based on two criteria: the learner's preference and the presence of one or more activities based on the activist style using genetic algorithm as an evolutionary algorithm. The results obtained led us to improve the learning process through a new conception of the ITS learner model.",,,,,,,,,0,0,0,0,0,0,0,,,2158-107X,2156-5570,,,,,,,"EMSI Rabat, SMARTiLAB, Rabat, MoroccoAbdelmalek Essaadi Univ, Polydisciplinary Fac, Adv Sci & Technol Lab, Larache, Morocco",EMSI Rabat,,,2023-09-23,WOS:001064731400001,
S,"Dimitrova, V; Bontcheva, K",,,,,"Bontcheva, Kalina/0000-0001-6152-9600","Palade, V; Howlett, RJ; Jain, L",,The use of conceptual graphs for interactive student modelling and adaptive Web explanations,,,,,,,,"KNOWLEDGE-BASED INTELLIGENT INFORMATION AND ENGINEERING SYSTEMS, PT 2, PROCEEDINGS",,Lecture Notes in Artificial Intelligence,,2774,,,,230,237,,,,,,,,,,,Article; Proceedings Paper,2003,2003,The paper discusses the use of domain ontologies encoded with conceptual graphs in two recent works in Artificial Intelligence in Education and Natural Language Processing: STyLE-OLM (an interactive learner modelling system that extracts extended models of the learners' cognition) and RYLITE+ (a natural language generation system that generates adaptive Web pages based on a learner model).,,,,,7th International Conference on Knowledge-Based Intelligent Information and Engineering Systems (KES 2003)7th International Conference on Knowledge-Based Intelligent Information and Engineering Systems (KES 2003),"SEP 03-05, 2003SEP 03-05, 2003",,"UNIV OXFORD, OXFORD, ENGLANDUNIV OXFORD, OXFORD, ENGLAND",1,0,0,0,0,0,1,,,0302-9743,1611-3349,3-540-40804-5,,,,,,"Univ Leeds, Sch Comp, Leeds LS2 9JT, W Yorkshire, EnglandUniv Sheffield, Dept Comp Sci, Sheffield S10 2TN, S Yorkshire, England",,,,2003-01-01,WOS:000186518100032,
J,"Katz, Sandra; Albacete, Patricia; Chounta, Irene-Angelica; Jordan, Pamela; McLaren, Bruce M.; Zapata-Rivera, Diego",,,,"Jordan, Pamela W./I-5337-2019; Chounta, Irene-Angelica/H-6158-2018","Jordan, Pamela W./0000-0002-1053-2516; Chounta, Irene-Angelica/0000-0001-9159-0664",,,Linking Dialogue with Student Modelling to Create an Adaptive Tutoring System for Conceptual Physics,,,,,,,,INTERNATIONAL JOURNAL OF ARTIFICIAL INTELLIGENCE IN EDUCATION,,,,31,3,,,397,445,,,,10.1007/s40593-020-00226-y,,,,,JAN 2021,,Article,SEP 2021,2021,"Jim Greer and his colleagues argued that student modelling is essential to provide adaptive instruction in tutoring systems and showed that effective modelling is possible, despite being enormously challenging. Student modelling plays a prominent role in many intelligent tutoring systems (ITSs) that address problem-solving domains. However, considerably less attention has been paid to using a student model to personalize instruction in tutorial dialogue systems (TDSs)-ITSs that engage students in natural-language, conceptual discussions. This paper describes Rimac, a TDS that tightly couples student modelling with tutorial dialogues about conceptual physics. Rimac is distinct from other TDSs insofar as it dynamically builds a persistent student model that guides reactive and proactive decision making in order to provide adaptive instruction. An initial pilot study set in high school physics classrooms compared a control version of Rimac without a student model with an experimental version that implemented a poor man's student model; that is, the model was initialized using students' pretest scores but not updated further. Both low and high prior knowledge students showed significant pretest to posttest learning gains. However, high prior knowledge students who used the experimental version of Rimac learned more efficiently than high prior knowledge students who used the control version. Specifically, high prior knowledge students who used the student model driven tutor took less time to complete the intervention but learned a similar amount as students who used the control version. A subsequent study found that both high and low prior knowledge students learned more efficiently from a version of the tutor that dynamically updates its student model during dialogues than from a control version that included the static poor man's student model. We discuss future work needed to improve the performance of Rimac's student model and to integrate TDSs in the classroom.",,,,,,,,,6,0,0,0,0,0,6,,,1560-4292,1560-4306,,,,,,,"Univ Pittsburgh, Learning Res & Dev Ctr, Pittsburgh, PA 15260 USAUniv Tartu, Ctr Educ Technol, Tartu, EstoniaCarnegie Mellon Univ, Human Comp Interact Inst, Pittsburgh, PA 15213 USAEduc Testing Serv, Princeton, NJ 08541 USA",,,,2021-01-22,WOS:000604896900001,
J,"Bull, Susan",,,,"Bull, Susan/G-4362-2016","Bull, Susan/0000-0003-1515-6641; Bull, Susan/0000-0002-1779-528X",,,Jim Greer's 25-Year Influence on a Research Programme on Open Learner Models,,,,,,,,INTERNATIONAL JOURNAL OF ARTIFICIAL INTELLIGENCE IN EDUCATION,,,,31,3,,,476,515,,,,10.1007/s40593-020-00233-z,,,,,JAN 2021,,Article,SEP 2021,2021,"For the special issue of the International Journal of Artificial Intelligence in Education dedicated to the memory of Jim Greer, this paper highlights some of Jim's extensive and always-timely contributions to the field: from his early AI-focussed research on intelligent tutoring systems, through a variety of applications deployed to support students in university courses, to learning analytics tools for instructional experts and university administrators. A substantial quantity of his work included some aspect of open learner modelling, and/or involved core issues that are also central to open learner modelling. Accordingly, this paper identifies Jim's profound influence throughout an open learner model research programme.",,,,,,,,,0,0,0,0,0,0,0,,,1560-4292,1560-4306,,,,,,,,,,,2021-01-26,WOS:000605938400002,
J,"Alzaid, Mohammed; Hsiao, Sharon",,,,,"Hsiao, Ihan/0000-0002-1888-3951",,,Utilising problem-solving: from self-assessment to self regulating,,,,,,,,NEW REVIEW OF HYPERMEDIA AND MULTIMEDIA,,,,25,3,SI,,222,244,,,,10.1080/13614568.2019.1705922,,,,,,,Article,JUL 3 2019,2019,"With the wide adoption of online platforms in education, having the content organised and readily available for the learners to self-assess their progress is crucial to ensure academic success. However, without the support of an active mentor, it might be difficult for the learners to guide themselves on how to accurately evaluate their learning outcome. This article focuses on how students benefited from self-assessing their programming course progress using an adaptive platform, namely QuizIT. We discuss the self-assessment procedure and development as it progresses into an open student model learning platform. The initial release was designated to assist programming novices as they encounter the programming learning journey. It was then followed by an extension to open the possibilities to the learner by having access to the learning model and gaining more control over the assessment experience. Quiz Adapt, was the set of features that provided an adaptive recommender based on an open learner model. The data collected from four study setups are evaluated to show the impact on the learning gain from interacting with the system. In addition, this paper sheds light on the effectiveness of daily learning opportunities in the introductory phase of education.",,,,,,,,,1,0,0,0,0,0,1,,,1361-4568,1740-7842,,,,,,,"Arizona State Univ, Sch Comp, Informat & Decis Syst Engn, Tempe, AZ USAArizona State Univ, Sch Comp,CONTACT,Mohammed Alzaid, Informat & Decis Syst Engn, Mill Ave, Tempe, AZ USA",,,,2020-02-14,WOS:000511112500007,
J,"Lajoie, Susanne P.",,,,,"Lajoie, Susanne/0000-0003-2814-3962",,,Student Modeling for Individuals and Groups: the BioWorld and HOWARD Platforms,,,,,,,,INTERNATIONAL JOURNAL OF ARTIFICIAL INTELLIGENCE IN EDUCATION,,,,31,3,,,460,475,,,,10.1007/s40593-020-00219-x,,,,,OCT 2020,,Article,SEP 2021,2021,"I first met Jim Greer at the NATO Advanced Study Institute on Syntheses of Instructional Sciences and Computing Science for Effective Instructional Computing Systems in 1990 in Calgary, Canada. It was during this meeting that I came to realize that Jim was one of those rare individuals that could help translate computer science principles to non-computer scientists. Through this translation process new knowledge could be developed through interdisciplinary partnerships with psychology and education. In this paper, I describe the manner in which Jim influenced my own journey in the field of Artificial Intelligence and Education. In particular, he has influenced two directions in my research, one direction is the manner in which technology can influence teaching and learning for individuals working solo. The second direction is how technology can influence teaching and learning through collaboration. In both situations I will discuss Jim Greer's influence on my research with respect to learner modelling, educational data mining, and visualization. In the context of solo learning, I will discuss BioWorld, a system that fosters clinical reasoning in medical students, emphasizing the role of student modeling and educational data mining for fostering and identifying performance differences in clinical reasoning. In the context of collaborative learning, I will discuss HOWARD, an online platform for supporting small group problem-based learning in medical students. In particular, I will discuss the role of learning analytics used in a pedagogical dashboard to foster teachers' interpretation of group learning.",,,,,,,,,8,0,0,0,0,0,8,,,1560-4292,1560-4306,,,,,,,"McGill Univ, Montreal, PQ, Canada",,,,2020-10-27,WOS:000578465900001,
J,"Amaral, Luiz; Meurers, Detmar",,,,"Meurers, Detmar/AAQ-6659-2020","Meurers, Detmar/0000-0002-9740-7442",,,From recording linguistic competence to supporting inferences about language acquisition in context,,,,,,,,COMPUTER ASSISTED LANGUAGE LEARNING,,,,21,4,,,323,338,,,,10.1080/09588220802343454,,,,,,,Article; Proceedings Paper,2008,2008,"Student models for Intelligent Computer Assisted Language Learning (ICALL) have largely focused on the acquisition of grammatical structures. In this paper, we motivate a broader perspective of student models for ICALL that incorporates insights from current research on second language acquisition and language testing. We argue for a student model that includes a representation of the learner's ability to use language in context and to perform tasks, as well as for an explicit activity model that provides information on the language tasks and the inferences for the student model they support. The student model architecture we present is being developed as part of the TAGARELA system, an intelligent workbook supporting the instruction of Portuguese.",,,,,Conference on Interfaces of Intelligent Computer-Assisted Language Learning (IICALL2)Conference on Interfaces of Intelligent Computer-Assisted Language Learning (IICALL2),"DEC 07-08, 2007DEC 07-08, 2007",,"Univ Waterloo, Waterloo, CANADAUniv Waterloo, Waterloo, CANADA",11,0,0,0,0,0,11,,,0958-8221,,,,,,,,"Univ Massachusetts, Dept Languages Literatures & Cultures, Amherst, MA 01003 USAUniv Tubingen, Dept Linguist, D-72074 Tubingen, Germany",,,,2008-01-01,WOS:000268814200003,
